Enemy_ID,Enemy_Name,Silence,Blind,Poison,Confusion,Sleep,Paralysis,Stone,Doom,Projectile,Bomb,Axe,Zombie,Air,Fire,Water,Earth
34,Enemy_34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,Enemy_35,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
36,Enemy_36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
37,Enemy_37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
38,Enemy_38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Enemy_39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Enemy_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Enemy_41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Enemy_42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Enemy_43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,Enemy_44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Enemy_45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46,Enemy_46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Enemy_47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Enemy_48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Enemy_49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50,Enemy_50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51,Enemy_51,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,Enemy_52,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
53,Enemy_53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
54,Enemy_54,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
55,Enemy_55,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
56,Enemy_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Enemy_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Enemy_58,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
59,Enemy_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Enemy_60,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
61,Enemy_61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
62,Enemy_62,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1
63,Enemy_63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
64,Enemy_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Enemy_65,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
66,Enemy_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Enemy_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Enemy_68,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
69,Enemy_69,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
70,Enemy_70,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
71,Enemy_71,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
72,Enemy_72,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
73,Enemy_73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
74,Enemy_74,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
75,Enemy_75,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1
76,Enemy_76,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
77,Enemy_77,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
78,Enemy_78,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
79,Enemy_79,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
80,Enemy_80,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
81,Enemy_81,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
82,Enemy_82,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
