ID,Text,Address,Length
73,Cure,$06448C,12
74,Heal,$064498,12
75,Quake,$0644A4,12
76,Blizzard,$0644B0,12
77,Fire,$0644BC,12
78,Thunder,$0644C8,12
79,Reflectant,$0644D4,12
80,Electrapulse,$0644E0,12
81,PowerDrain,$0644EC,12
82,Spark,$0644F8,12
83,IronNail,$064504,12
84,Scream,$064510,12
85,Quicksand,$06451C,12
86,DoomGaze,$064528,12
87,DoomPowder,$064534,12
88,Cure,$064540,12
89,FireBreath,$06454C,12
90,Punch,$064558,12
91,Kick,$064564,12
92,Uppercut,$064570,12
93,Stab,$06457C,12
94,HeadButt,$064588,12
95,BodySlam,$064594,12
96,Scrunch,$0645A0,12
97,FullNelson,$0645AC,12
98,NeckChoke,$0645B8,12
99,Dash,$0645C4,12
100,Roundhouse,$0645D0,12
101,ChokeUp,$0645DC,12
102,StompStomp,$0645E8,12
103,MegaPunch,$0645F4,12
104,Bearhug,$064600,12
105,AxeBomber,$06460C,12
106,Piledriver,$064618,12
107,SkyAttack,$064624,12
108,Wraparound,$064630,12
109,Dive,$06463C,12
110,Attatch,$064648,12
111,Mucus,$064654,12
112,Claw,$064660,12
113,Fang,$06466C,12
114,Beak,$064678,12
115,Sting,$064684,12
116,Tail,$064690,12
117,Psudopod,$06469C,12
118,Bite,$0646A8,12
119,HydroAcid,$0646B4,12
120,Branch,$0646C0,12
121,Fin,$0646CC,12
122,Scissor,$0646D8,12
123,WhipTongue,$0646E4,12
124,Horn,$0646F0,12
125,GiantBlade,$0646FC,12
126,Headoomerang,$064708,12
127,ChewOff,$064714,12
128,Quake,$064720,12
129,Flame,$06472C,12
130,FlameSweep,$064738,12
131,Fireball,$064744,12
132,FlamePillar,$064750,12
133,Heatwave,$06475C,12
134,Watergun,$064768,12
135,Coldness,$064774,12
136,IcyFoam,$064780,12
137,IceBlock,$06478C,12
138,Snowstorm,$064798,12
139,Whirlwater,$0647A4,12
140,IceBreath,$0647B0,12
141,Tornado,$0647BC,12
142,Typhoon,$0647C8,12
143,Hurricane,$0647D4,12
144,Thunder,$0647E0,12
145,ThunderBeam,$0647EC,12
146,CorrodeGas,$0647F8,12
147,DoomDance,$064804,12
148,SonicBoom,$064810,12
149,Bark,$06481C,12
150,Screechvoice,$064828,12
151,Para-needle,$064834,12
152,Para-claw,$064840,12
153,Para-snake,$06484C,12
154,Para-breath,$064858,12
155,PoisonSting,$064864,12
156,PoisonThorn,$064870,12
157,RottenMucus,$06487C,12
158,PoisonSnake,$064888,12
159,Poisonbreath,$064894,12
160,Blinder,$0648A0,12
161,Blackness,$0648AC,12
162,StoneBeak,$0648B8,12
163,Gaze,$0648C4,12
164,Stare,$0648D0,12
165,SpookyLaugh,$0648DC,12
166,Riddle,$0648E8,12
167,BadBreath,$0648F4,12
168,BodyOdor,$064900,12
169,Para-stare,$06490C,12
170,PoisonFluid,$064918,12
171,PoisonFlour,$064924,12
172,Hypno-sleep,$064930,12
173,Lullaby,$06493C,12
174,SleepLure,$064948,12
175,SleepPowder,$064954,12
176,BlindFlash,$064960,12
177,Smokescreen,$06496C,12
178,Muffle,$064978,12
179,SilenceSong,$064984,12
180,StoneGas,$064990,12
181,StoneGaze,$06499C,12
182,DoubleSword,$0649A8,12
183,DoubleHit,$0649B4,12
184,TripleFang,$0649C0,12
185,DoubleKick,$0649CC,12
186,TwinShears,$0649D8,12
187,ThreeHeads,$0649E4,12
188,6Psudopods,$0649F0,12
189,SnakeHead,$0649FC,12
190,Drain,$064A08,12
191,Dissolve,$064A14,12
192,SuckerStick,$064A20,12
193,Selfdestruct,$064A2C,12
194,Multiply,$064A38,12
195,ParaGas,$064A44,12
196,RipEarth,$064A50,12
197,StoneBlock,$064A5C,12
198,Windstorm,$064A68,12
199,TwinFang,$064A74,12
200,Psychshield,$064A80,12
201,Psychshield,$064A8C,12
202,DarkCane,$064A98,12
203,DarkSaber,$064AA4,12
204,IceSword,$064AB0,12
205,FireSword,$064ABC,12
206,MirrorSword,$064AC8,12
207,QuakeAxe,$064AD4,12
208,CureArrow,$064AE0,12
209,Lazer,$064AEC,12
210,SpiderKids,$064AF8,12
211,SilverWeb,$064B04,12
212,GoldenWeb,$064B10,12
213,MegaFlare,$064B1C,12
214,MegaWhite,$064B28,12
215,FireBreath,$064B34,12
216,SkyAttack,$064B40,12
217,Piledriver,$064B4C,12
218,Hurricane,$064B58,12
219,Heatwave,$064B64,12
221,Explosive,$064B7C,12
222,Arrow,$064B88,12
223,NinjaStar,$064B94,12
224,Brownie,$064BA0,12
225,Mintmint,$064BAC,12
226,Red,$064BB8,12
227,Cap,$064BC4,12
228,Mad_Plant,$064BD0,12
229,Plant_Ma,$064BDC,12
230,nLive,$064BE8,12
231,Oak,$064BF4,12
